Rhf (mm),Lm (mm),Lpc (mm),H (mm),K,Uave_dia (mm/s),Uave_per (mm/s),c0_dia (mol/m^3),c0_mem (mol/m3),Concentration (mol/m^3),(c0_dia - c)/c0_dia * 100 (1)
Only Rhf varried,,,,,,,,,,
0.4,0.05,0.2,21,1.25,0.65,0.8,1250,0,748.5,40.12
0.4,0.05,0.2,21,1.25,0.65,0.8,1625,0,973.05,40.12
0.4,0.05,0.2,21,1.25,0.65,0.8,2000,0,1197.6,40.12
0.4,0.05,0.2,21,1.25,0.825,0.8,500,0,322.98,35.404
0.4,0.05,0.2,21,1.25,0.825,0.8,875,0,565.21,35.404
0.4,0.05,0.2,21,1.25,0.825,0.8,1250,0,807.45,35.404
0.4,0.05,0.2,21,1.25,0.825,0.8,1625,0,1049.7,35.404
0.4,0.05,0.2,21,1.25,0.825,0.8,2000,0,1291.9,35.404
0.4,0.05,0.2,21,1.25,1,0.8,500,0,340.24,31.952
0.4,0.05,0.2,21,1.25,1,0.8,875,0,595.36,31.959
0.4,0.05,0.2,21,1.25,1,0.8,1250,0,850.6,31.952
0.4,0.05,0.2,21,1.25,1,0.8,1625,0,1105.8,31.952
0.4,0.05,0.2,21,1.25,1,0.8,2000,0,1361,31.952
0.4,0.05,0.2,21,1.5,0.3,0.8,500,0,203.85,59.229
0.4,0.05,0.2,21,1.5,0.3,0.8,875,0,356.74,59.23
0.4,0.05,0.2,21,1.5,0.3,0.8,1250,0,509.63,59.229
0.4,0.05,0.2,21,1.5,0.3,0.8,1625,0,662.52,59.229
0.4,0.05,0.2,21,1.5,0.3,0.8,2000,0,815.41,59.229
0.4,0.05,0.2,21,1.5,0.475,0.8,500,0,260.78,47.845
0.4,0.05,0.2,21,1.5,0.475,0.8,875,0,456.32,47.85
0.4,0.05,0.2,21,1.5,0.475,0.8,1250,0,651.94,47.845
0.4,0.05,0.2,21,1.5,0.475,0.8,1625,0,847.52,47.845
0.4,0.05,0.2,21,1.5,0.475,0.8,2000,0,1043.1,47.845
0.4,0.05,0.2,21,1.5,0.65,0.8,500,0,295.65,40.87
0.4,0.05,0.2,21,1.5,0.65,0.8,875,0,517.33,40.876
0.4,0.05,0.2,21,1.5,0.65,0.8,1250,0,739.13,40.87
0.4,0.05,0.2,21,1.5,0.65,0.8,1625,0,960.86,40.87
0.4,0.05,0.2,21,1.5,0.65,0.8,2000,0,1182.6,40.87
0.4,0.05,0.2,21,1.5,0.825,0.8,500,0,319.38,36.124
0.4,0.05,0.2,21,1.5,0.825,0.8,875,0,558.85,36.131
0.4,0.05,0.2,21,1.5,0.825,0.8,1250,0,798.44,36.124
0.4,0.05,0.2,21,1.5,0.825,0.8,1625,0,1038,36.124
0.4,0.05,0.2,21,1.5,0.825,0.8,2000,0,1277.5,36.124
0.4,0.05,0.2,21,1.5,1,0.8,500,0,336.78,32.643
0.4,0.05,0.2,21,1.5,1,0.8,875,0,589.34,32.647
0.4,0.05,0.2,21,1.5,1,0.8,1250,0,841.96,32.643
0.4,0.05,0.2,21,1.5,1,0.8,1625,0,1094.5,32.643
0.4,0.05,0.2,21,1.5,1,0.8,2000,0,1347.1,32.643
